UF DO HOSPITAL;LOCAL_DE_INTERNAÇÃO;ANO_MÊS;CPF_DO_PACIENTE;TIPO_DE_INTERNAÇÃO;QTD_DE_DIAS;VALOR_PAGO
PARANA;HOSPITAL X1;01/2020;123456789123;PARTO CESARIANA;3;4167,90
PARANA;HOSPITAL X1;01/2020;123456789126;PARTO CESARIANA;2;4167,90
PARANA;HOSPITAL X1;01/2020;123456789129;PARTO CESARIANA;2;5567,21
PARANA;HOSPITAL X1;01/2020;123456789132;PARTO CESARIANA;4;3783,86
PARANA;HOSPITAL X1;01/2020;123456789135;PARTO NORMAL;3;6540,43
PARANA;HOSPITAL X1;01/2020;123456789138;PARTO CESARIANA;2;5764,68
PARANA;HOSPITAL X1;01/2020;123456789141;PARTO CESARIANA;3;5567,21
PARANA;HOSPITAL X1;01/2020;123456789144;PARTO CESARIANA;2;5349,36
PARANA;HOSPITAL X1;01/2020;123456789147;PARTO CESARIANA;4;4458,82
PARANA;HOSPITAL X1;01/2020;123456789150;PARTO CESARIANA;2;6922,08
PARANA;HOSPITAL X1;01/2020;123456789153;PARTO CESARIANA;2;4162,58
PARANA;HOSPITAL X1;01/2020;123456789156;PARTO NORMAL;2;5160,55
PARANA;HOSPITAL X1;01/2020;123456789159;PARTO CESARIANA;2;5726,49
PARANA;HOSPITAL X1;01/2020;123456789162;PARTO CESARIANA;2;4875,95
PARANA;HOSPITAL X1;01/2020;123456789165;PARTO CESARIANA;2;4207,86
PARANA;HOSPITAL X1;01/2020;123456789168;PARTO CESARIANA;2;3464,32
PARANA;HOSPITAL X1;01/2020;123456789171;PARTO NORMAL;2;5569,96
PARANA;HOSPITAL X1;01/2020;123456789174;PARTO CESARIANA;3;8243,97
PARANA;HOSPITAL X1;01/2020;123456789177;PARTO CESARIANA;2;4748,82
PARANA;HOSPITAL X1;01/2020;123456789180;PARTO CESARIANA;2;4907,90
PARANA;HOSPITAL X1;01/2020;123456789183;PARTO NORMAL;2;5940,57
PARANA;HOSPITAL X1;01/2020;123456789186;PARTO CESARIANA;2;5946,00
PARANA;HOSPITAL X1;01/2020;123456789189;PARTO CESARIANA;2;4356,38
PARANA;HOSPITAL X1;01/2020;123456789192;PARTO CESARIANA;2;5565,40
PARANA;HOSPITAL X1;01/2020;123456789195;PARTO CESARIANA;3;5772,99
PARANA;HOSPITAL X1;01/2020;123456789198;PARTO CESARIANA;2;7946,00
PARANA;HOSPITAL X1;01/2020;123456789201;PARTO CESARIANA;2;5702,91
PARANA;HOSPITAL X1;01/2020;123456789204;PARTO CESARIANA;3;7098,46
PARANA;HOSPITAL X1;01/2020;123456789207;PARTO CESARIANA;2;5787,74
PARANA;HOSPITAL X1;01/2020;123456789210;PARTO CESARIANA;2;6168,62
PARANA;HOSPITAL X1;01/2020;123456789213;PARTO CESARIANA;2;6080,29
PARANA;HOSPITAL X1;01/2020;123456789216;PARTO CESARIANA;2;5469,03
PARANA;HOSPITAL X1;01/2020;123456789219;PARTO CESARIANA;2;6201,58
PARANA;HOSPITAL X1;01/2020;123456789222;PARTO CESARIANA;2;4266,31
PARANA;HOSPITAL X1;01/2020;123456789225;PARTO CESARIANA;2;6747,58
PARANA;HOSPITAL X1;01/2020;123456789228;PARTO CESARIANA;2;6079,68
PARANA;HOSPITAL X1;01/2020;123456789231;PARTO CESARIANA;2;5552,09
PARANA;HOSPITAL X1;01/2020;123456789234;PARTO CESARIANA;2;5515,40
PARANA;HOSPITAL X100;01/2020;123456789237;PARTO CESARIANA;2;5524,06
MATO GROSSO;HOSPITAL X101;01/2020;123456789240;PARTO CESARIANA;1;4524,33
MATO GROSSO;HOSPITAL X101;01/2020;123456789243;PARTO NORMAL;1;2094,85
MATO GROSSO;HOSPITAL X101;01/2020;123456789246;PARTO CESARIANA;1;5102,00
PARANA;HOSPITAL X102;01/2020;123456789249;PARTO CESARIANA;3;14022,46
PARANA;HOSPITAL X102;01/2020;123456789252;PARTO CESARIANA;1;7945,72
PARANA;HOSPITAL X102;01/2020;123456789255;PARTO CESARIANA;3;12008,91
PARANA;HOSPITAL X102;01/2020;123456789258;PARTO CESARIANA;4;11323,84
PARANA;HOSPITAL X102;01/2020;123456789261;PARTO NORMAL;1;5069,22
PARANA;HOSPITAL X102;01/2020;123456789264;PARTO CESARIANA;2;7880,93
CEARA;HOSPITAL X103;01/2020;123456789267;PARTO CESARIANA;0;5349,88
CEARA;HOSPITAL X103;01/2020;123456789270;PARTO CESARIANA;0;7814,46
CEARA;HOSPITAL X103;01/2020;123456789273;PARTO CESARIANA;0;4009,87
CEARA;HOSPITAL X103;01/2020;123456789276;PARTO CESARIANA;0;6741,89
CEARA;HOSPITAL X103;01/2020;123456789279;PARTO CESARIANA;0;5374,97
CEARA;HOSPITAL X103;01/2020;123456789282;PARTO CESARIANA;0;5361,59
CEARA;HOSPITAL X103;01/2020;123456789285;PARTO CESARIANA;0;7097,51
CEARA;HOSPITAL X103;01/2020;123456789288;PARTO CESARIANA;0;5057,26
CEARA;HOSPITAL X103;01/2020;123456789291;PARTO CESARIANA;1;7057,30
CEARA;HOSPITAL X103;01/2020;123456789294;PARTO CESARIANA;0;5212,65
CEARA;HOSPITAL X103;01/2020;123456789297;PARTO CESARIANA;0;5326,93
SAO PAULO;HOSPITAL X104;01/2020;123456789300;PARTO CESARIANA;2;3242,01
SAO PAULO;HOSPITAL X104;01/2020;123456789303;PARTO CESARIANA;1;3432,05
SAO PAULO;HOSPITAL X104;01/2020;123456789306;PARTO CESARIANA;2;3035,55
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789309;PARTO CESARIANA;1;14221,46
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789312;PARTO CESARIANA;2;10095,81
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789315;PARTO CESARIANA;2;3933,90
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789318;PARTO NORMAL;3;11371,29
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789321;PARTO CESARIANA;3;3933,90
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789324;PARTO CESARIANA;2;11277,29
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789327;PARTO CESARIANA;2;1981,75
DISTRITO FEDERAL;HOSPITAL X105;01/2020;123456789330;PARTO CESARIANA;2;10207,69
SAO PAULO;HOSPITAL X106;01/2020;123456789333;PARTO CESARIANA;2;4453,20
SAO PAULO;HOSPITAL X106;01/2020;123456789336;PARTO NORMAL;2;4730,18
SAO PAULO;HOSPITAL X106;01/2020;123456789339;PARTO NORMAL;2;4469,20
SAO PAULO;HOSPITAL X107;01/2020;123456789342;PARTO NORMAL;2;10891,74
SAO PAULO;HOSPITAL X107;01/2020;123456789345;PARTO NORMAL;3;10380,99
SAO PAULO;HOSPITAL X107;01/2020;123456789348;PARTO NORMAL;2;10842,68
SAO PAULO;HOSPITAL X107;01/2020;123456789351;PARTO CESARIANA;4;19532,16
SAO PAULO;HOSPITAL X107;01/2020;123456789354;PARTO NORMAL;2;11514,33
SAO PAULO;HOSPITAL X107;01/2020;123456789357;PARTO CESARIANA;4;9572,72
SAO PAULO;HOSPITAL X109;01/2020;123456789360;PARTO CESARIANA;3;13141,02
SAO PAULO;HOSPITAL X109;01/2020;123456789363;PARTO CESARIANA;3;14266,37
SAO PAULO;HOSPITAL X109;01/2020;123456789366;PARTO CESARIANA;1;16999,69
SAO PAULO;HOSPITAL X109;01/2020;123456789369;PARTO CESARIANA;3;15042,74
SAO PAULO;HOSPITAL X109;01/2020;123456789372;PARTO NORMAL;3;14972,91
SAO PAULO;HOSPITAL X109;01/2020;123456789375;PARTO CESARIANA;3;14780,38
SAO PAULO;HOSPITAL X109;01/2020;123456789378;PARTO CESARIANA;3;15543,69
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789381;PARTO CESARIANA;3;5759,57
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789384;PARTO CESARIANA;2;7516,28
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789387;PARTO CESARIANA;2;5146,88
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789390;PARTO CESARIANA;2;4512,91
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789393;PARTO CESARIANA;1;5739,41
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789396;PARTO CESARIANA;2;5215,40
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789399;PARTO CESARIANA;2;5021,97
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789402;PARTO CESARIANA;1;5221,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789405;PARTO CESARIANA;2;5714,62
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789408;PARTO CESARIANA;2;5450,55
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789411;PARTO CESARIANA;2;5678,13
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789414;PARTO CESARIANA;1;5021,97
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789417;PARTO CESARIANA;1;5530,85
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789420;PARTO CESARIANA;1;5021,97
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789423;PARTO CESARIANA;2;5465,24
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789426;PARTO CESARIANA;2;5520,31
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789429;PARTO CESARIANA;2;7217,70
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789432;PARTO CESARIANA;2;5837,79
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789435;PARTO CESARIANA;2;6112,38
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789438;PARTO CESARIANA;2;5106,55
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789441;PARTO CESARIANA;2;5305,92
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789444;PARTO CESARIANA;2;6138,32
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789447;PARTO CESARIANA;3;5844,62
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789450;PARTO CESARIANA;1;3826,22
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789453;PARTO CESARIANA;2;5215,40
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789456;PARTO CESARIANA;2;5309,02
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789459;PARTO CESARIANA;2;5450,55
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789462;PARTO NORMAL;1;5464,22
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789465;PARTO NORMAL;1;4508,22
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789468;PARTO CESARIANA;2;5021,96
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789471;PARTO CESARIANA;2;5962,44
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789474;PARTO CESARIANA;2;7970,22
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789477;PARTO CESARIANA;1;6162,42
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789480;PARTO CESARIANA;1;7461,68
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789483;PARTO CESARIANA;2;4907,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789486;PARTO CESARIANA;3;7633,33
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789489;PARTO CESARIANA;2;5521,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789492;PARTO CESARIANA;1;5544,62
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789495;PARTO CESARIANA;1;7513,92
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789498;PARTO CESARIANA;2;5800,11
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789501;PARTO CESARIANA;2;5538,29
